plot #,plot index,community,reservation,drainage,loam
1009,1,FP,HI,WELL,3
1013,2,BM,BR,POOR,1
1017,3,OAK,NC,POOR,4
1025,4,OAK,BR,POOR,1
1033,5,M,NC,WELL,3
1034,6,FP,HI,WELL,1
1035,7,BM,MS,POOR,2
1038,8,BM,RR,WELL,1
1039,9,FP,MS,WELL,1
1044,10,M,NC,WELL,1
1045,11,M,BR,WELL,1
1051,12,BM,MS,POOR,2
1054,13,FP,RR,WELL,1
1061,14,OAK,BR,WELL,2
1069,15,FP,HI,WELL,2
1071,16,FP,MS,WELL,3
1089,17,BM,BR,WELL,1
1090,18,FP,RR,WELL,1
1092,19,OAK,NC,WELL,2
1094,20,M,RR,WELL,1
1097,21,BM,NC,POOR,2
1098,22,FP,HI,WELL,1
1099,23,OAK,MS,POOR,1
1136,24,OAK,WC,WELL,1
1376,25,OAK,WC,WELL,1
3370,26,M,HI,WELL,3
3596,27,OAK,WC,WELL,1
3668,28,FP,WC,WELL,1
3732,29,OAK,WC,POOR,2
